state,year,population_millions,pop_density,urban_frac,urban_pct,urban_pop_M,rural_pop_M,water_demand_MLD,pop_growth_pct,pop_index
Bihar,2005,9870.604,94163,0.083,8.3,819.260132,9051.343868,744194.18858,,100.0
Bihar,2006,32605.513,94163,0.088,8.799999999999999,2869.285144,29736.227856,2468889.44436,230.32946109478206,330.32946109478206
Bihar,2007,107705.615,94163,0.093,9.3,10016.622195,97688.992805,8190473.492675,230.32945992906173,1091.1755248209736
Bihar,2008,355783.372,94163,0.098,9.8,34866.770456,320916.601544,27171176.11964,230.3294558969836,3604.4741740221775
Bihar,2009,1175257.276,94163,0.10300000000000001,10.3,121051.49942800001,1054205.776572,90136356.78282,230.3294556441497,11906.639917881419
Bihar,2010,3882220.969,94163,0.108,10.8,419279.864652,3462941.104348,299008659.03238,230.32945622027356,39331.13889484372
Bihar,2011,12824119.411,94163,0.113,11.3,1449125.4934430001,11374993.917557001,991881515.8437952,230.32945608717617,129922.33718422907
Bihar,2012,307.907,94163,0.11800000000000001,11.8,36.333026,271.57397399999996,23915.136689999996,-99.99759900083481,3.1194342311777477
Bihar,2013,910.727,94163,0.123,12.3,112.019421,798.707579,71032.152365,195.77989457855782,9.226659280424986
Bihar,2014,2693.75,94163,0.128,12.8,344.8,2348.95,210974.5,195.7801844021315,27.290629833797407
Bihar,2015,7967.575,94163,0.133,13.3,1059.687475,6907.887525,626609.935875,195.78004640371228,80.72023758627131
Bihar,2016,23566.497,94163,0.138,13.8,3252.176586,20314.320413999998,1861046.2680899997,195.78004599893944,238.75435586312653
Bihar,2017,69704.993,94163,0.14300000000000002,14.3,9967.813999000002,59737.179001000004,5527257.419935001,195.7800346822865,706.1877165774252
Bihar,2018,206173.455,94163,0.14800000000000002,14.800000000000002,30513.67134,175659.78366,16415530.4871,195.78003831088537,2088.7622986394754
Bihar,2019,609819.923,94163,0.153,15.299999999999999,93302.448219,516517.47478099994,48752053.744234994,195.78003773570168,6178.141915124951
Bihar,2020,1803725.599,94163,0.158,15.8,284988.64464199997,1518736.9543579998,144785053.83173,195.78003783913766,18273.710494312203
Bihar,2021,5335060.256,94163,0.163,16.3,869614.8217280001,4465445.434272,429979181.33232,195.78003765970834,54049.98778190271
Bihar,2022,15780043.236,94163,0.168,16.8,2651047.263648,13128995.972352,1276921098.65712,195.78003769035593,159869.07423294464
Bihar,2023,46674217.828,94163,0.173,17.299999999999997,8074639.684243999,38599578.143756,3792046827.43586,195.78003767137463,472860.8079910814
Bihar,2024,138053019.08,94163,0.178,17.8,24573437.39624,113479581.68376002,11260984766.3556,195.7800376832059,1398627.8760651327
Haryana,2005,1435.694,43297,0.3,30.0,430.7082,1004.9857999999999,128494.61299999998,,100.0
Haryana,2006,4123.412,43297,0.308,30.8,1270.010896,2853.401104,371189.54824,187.20688391816088,287.2068839181609
Haryana,2007,11842.723,43297,0.31599999999999995,31.599999999999994,3742.3004679999995,8100.4225320000005,1072240.14042,187.20688109749887,824.8779335986638
Haryana,2008,34013.115,43297,0.32399999999999995,32.4,11020.249259999999,22992.86574,3097234.2519,187.20687801276782,2369.1061605049545
Haryana,2009,97688.009,43297,0.33199999999999996,33.199999999999996,32432.418987999998,65255.59001200001,8946267.86422,187.2068876961137,6804.236069803175
Haryana,2010,280566.688,43297,0.33999999999999997,34.0,95392.67392,185174.01408000002,25840191.9648,187.20688534045155,19542.234487293255
Haryana,2011,805806.853,43297,0.348,34.8,280420.784844,525386.068156,74633830.72486,187.20688786831312,56126.64349088316
Haryana,2012,65.818,43297,0.356,35.6,23.431207999999998,42.386792,6130.28852,-99.99183203769552,4.584403083108239
Haryana,2013,170.551,43297,0.364,36.4,62.080563999999995,108.47043599999999,15973.806659999998,159.12516332918045,11.87934197677221
Haryana,2014,441.943,43297,0.372,37.2,164.402796,277.540204,41622.19174,159.1265955637903,30.782534439790094
Haryana,2015,1145.188,43297,0.38,38.0,435.17144,710.01656,108449.3036,159.1257243581186,79.76546534289342
Haryana,2016,2967.478,43297,0.38799999999999996,38.8,1151.3814639999998,1816.0965360000002,282563.25516,159.12583785369736,206.69293038767313
Haryana,2017,7689.502,43297,0.39599999999999996,39.599999999999994,3045.0427919999997,4644.459208000001,736192.92148,159.12583008197535,535.5947715878175
Haryana,2018,19925.487,43297,0.40399999999999997,40.4,8049.896748,11875.590252000002,1918027.37862,159.125844560545,1387.864475299054
Haryana,2019,51632.088,43297,0.412,41.199999999999996,21272.420256,30359.667744000006,4996953.47664,159.1258522313658,3596.315649435047
Haryana,2020,133792.09,43297,0.42,42.0,56192.6778,77599.4122,13017970.357,159.12585599869598,9318.983711013629
Haryana,2021,346689.895,43297,0.428,42.8,148383.27506,198306.61994000003,33913205.5289,159.12585340433805,24147.896069775317
Haryana,2022,898363.151,43297,0.43599999999999994,43.599999999999994,391686.33383599995,506676.817164,88345032.26934,159.1258539566029,62573.44190335823
Haryana,2023,2327891.189,43297,0.44399999999999995,44.39999999999999,1033583.6879159998,1294307.501084,230135322.94453996,159.12585421705478,162143.96584508955
Haryana,2024,6032167.928,43297,0.45199999999999996,45.199999999999996,2726539.9034559997,3305628.0245440006,599476848.68464,159.12585418527482,420156.93650596857
Punjab,2005,655.414,50362,0.334,33.4,218.908276,436.50572399999993,60108.01794,,100.0
Punjab,2006,1492.097,50362,0.34099999999999997,34.099999999999994,508.8050769999999,983.291923,137519.120005,127.65717546466813,227.65717546466811
Punjab,2007,3396.867,50362,0.348,34.8,1182.109716,2214.7572840000003,314617.82154,127.65725016537131,518.2780654670179
Punjab,2008,7733.213,50362,0.355,35.5,2745.290615,4987.922385,719768.799975,127.65722060946159,1179.8974388706984
Punjab,2009,17605.218,50362,0.362,36.199999999999996,6373.088916,11232.129084,1646616.03954,127.65722345938228,2686.1217490013946
Punjab,2010,40079.552,50362,0.369,36.9,14789.354688000001,25290.197312000004,3766876.6947200005,127.65723207744432,6115.150424006812
Punjab,2011,91243.999,50362,0.376,37.6,34307.743623999995,56936.255376,8617083.26556,127.65723279541645,13921.582236571083
Punjab,2012,57.757,50362,0.383,38.3,22.120931,35.636069,5480.850515,-99.93670049468129,8.812292688285572
Punjab,2013,120.428,50362,0.39,39.0,46.96692,73.46108,11482.8098,108.50805962913586,18.37434049318446
Punjab,2014,251.103,50362,0.397,39.7,99.68789100000001,151.415109,24056.922915,108.50881854718173,38.31212027817532
Punjab,2015,523.572,50362,0.404,40.400000000000006,211.523088,312.048912,50399.04072,108.50885891446937,79.88416481796239
Punjab,2016,1091.692,50362,0.41100000000000003,41.1,448.68541200000004,643.006588,105582.99178,108.50847638911172,166.5652549381002
Punjab,2017,2276.272,50362,0.418,41.8,951.4816959999999,1324.790304,221185.35024,108.50862697537397,347.30292608946405
Punjab,2018,4746.224,50362,0.425,42.5,2017.1452,2729.0788,463350.118,108.50864922996904,724.1566399252991
Punjab,2019,9896.288,50362,0.432,43.2,4275.196416,5621.091584000001,970627.92704,108.50865867266273,1509.9292965972654
Punjab,2020,20634.616,50362,0.439,43.9,9058.596424000001,11576.019576,2033231.8875600002,108.50864485754661,3148.3331146420433
Punjab,2021,43024.957,50362,0.446,44.6,19189.130822000003,23835.826178000003,4259040.493430001,108.50863907523163,6564.546530894977
Punjab,2022,89710.756,50362,0.453,45.300000000000004,40638.972468,49071.783531999994,8921286.13042,108.5086476669808,13687.647197038817
Punjab,2023,187054.683,50362,0.46,46.0,86045.15418,101009.52882,18686762.8317,108.50864638795375,28539.927892904332
